class,test_class,model,run,eo_test_count,package,eo_line_coverage_score,eo_mutation_coverage_score,eo_test_strength_score,eo_line_coverage,eo_mutation_coverage,eo_test_strength,mvn_pit_command,mvn_pit_status
CacheHandler,CacheHandler_ESTest_run_02_identical_5_ocra_7914674425_EOTest,ocra,run_02,2,io.github.bonigarcia.wdm.cache,39,0,0,13/33,0/18,0/4,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=io.github.bonigarcia.wdm.cache.CacheHandler -DtargetTests=io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_02_identical_5_ocra_8113593863_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_02_identical_5_ocra_7914674425_EOTest",True
CacheHandler,CacheHandler_ESTest_run_03_identical_5_ocra_844005912_EOTest,ocra,run_03,1,io.github.bonigarcia.wdm.cache,30,0,0,10/33,0/18,0/3,mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=io.github.bonigarcia.wdm.cache.CacheHandler -DtargetTests=io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_03_identical_5_ocra_844005912_EOTest,True
CacheHandler,CacheHandler_ESTest_run_01_identical_5_mpt_889695670_EOTest,mpt,run_01,3,io.github.bonigarcia.wdm.cache,0,0,0,0,0,0,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=io.github.bonigarcia.wdm.cache.CacheHandler -DtargetTests=io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_01_identical_5_mpt_8915099263_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_01_identical_5_mpt_845115851_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_01_identical_5_mpt_889695670_EOTest",False
CacheHandler,CacheHandler_ESTest_run_02_identical_5_mpt_8416228645_EOTest,mpt,run_02,7,io.github.bonigarcia.wdm.cache,0,0,0,0,0,0,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=io.github.bonigarcia.wdm.cache.CacheHandler -DtargetTests=io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_02_identical_5_mpt_8615196596_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_02_identical_5_mpt_858090771_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_02_identical_5_mpt_893101201_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_02_identical_5_mpt_882649228_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_02_identical_5_mpt_835097787_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_02_identical_5_mpt_811438716_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_02_identical_5_mpt_8416228645_EOTest",False
CacheHandler,CacheHandler_ESTest_run_03_identical_5_mpt_8915885415_EOTest,mpt,run_03,7,io.github.bonigarcia.wdm.cache,0,0,0,0,0,0,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=io.github.bonigarcia.wdm.cache.CacheHandler -DtargetTests=io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_03_identical_5_mpt_855319042_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_03_identical_5_mpt_7816368287_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_03_identical_5_mpt_8810841790_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_03_identical_5_mpt_8615032437_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_03_identical_5_mpt_83203207_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_03_identical_5_mpt_8411664597_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_03_identical_5_mpt_8915885415_EOTest",False
CacheHandler,CacheHandler_ESTest_run_01_identical_5_nous_872086854_EOTest,nous,run_01,4,io.github.bonigarcia.wdm.cache,48,0,0,16/33,0/18,0/3,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=io.github.bonigarcia.wdm.cache.CacheHandler -DtargetTests=io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_01_identical_5_nous_818722349_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_01_identical_5_nous_881052630_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_01_identical_5_nous_8610972161_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_01_identical_5_nous_872086854_EOTest",True
CacheHandler,CacheHandler_ESTest_run_02_identical_5_nous_845739379_EOTest,nous,run_02,5,io.github.bonigarcia.wdm.cache,48,0,0,16/33,0/18,0/5,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=io.github.bonigarcia.wdm.cache.CacheHandler -DtargetTests=io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_02_identical_5_nous_884180696_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_02_identical_5_nous_8011665233_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_02_identical_5_nous_789306271_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_02_identical_5_nous_8512173013_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_02_identical_5_nous_845739379_EOTest",True
CacheHandler,CacheHandler_ESTest_run_03_identical_5_nous_7914844966_EOTest,nous,run_03,4,io.github.bonigarcia.wdm.cache,39,0,0,13/33,0/18,0/4,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=io.github.bonigarcia.wdm.cache.CacheHandler -DtargetTests=io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_03_identical_5_nous_885340372_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_03_identical_5_nous_814200299_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_03_identical_5_nous_7816403329_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_03_identical_5_nous_7914844966_EOTest",True
CacheHandler,CacheHandler_ESTest_run_01_identical_5_vicuna_865503920_EOTest,vicuna,run_01,9,io.github.bonigarcia.wdm.cache,0,0,0,0,0,0,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=io.github.bonigarcia.wdm.cache.CacheHandler -DtargetTests=io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_01_identical_5_vicuna_87466969_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_01_identical_5_vicuna_8913157882_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_01_identical_5_vicuna_8213799050_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_01_identical_5_vicuna_846525736_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_01_identical_5_vicuna_789605083_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_01_identical_5_vicuna_8812918054_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_01_identical_5_vicuna_7910033772_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_01_identical_5_vicuna_832955624_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_01_identical_5_vicuna_865503920_EOTest",False
CacheHandler,CacheHandler_ESTest_run_02_identical_5_vicuna_885282468_EOTest,vicuna,run_02,9,io.github.bonigarcia.wdm.cache,0,0,0,0,0,0,"mvn test-compile org.pitest:pitest-maven:mutationCoverage -DtargetClasses=io.github.bonigarcia.wdm.cache.CacheHandler -DtargetTests=io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_02_identical_5_vicuna_872705723_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_02_identical_5_vicuna_8314672352_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_02_identical_5_vicuna_829357314_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_02_identical_5_vicuna_8916462522_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_02_identical_5_vicuna_8415964575_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_02_identical_5_vicuna_7915289404_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_02_identical_5_vicuna_7816687699_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_02_identical_5_vicuna_8614822759_EOTest,io.github.bonigarcia.wdm.cache.CacheHandler_ESTest_run_02_identical_5_vicuna_885282468_EOTest",False
