class,model,eo_line_coverage_score,eo_mutation_coverage_score,eo_test_strength_score,,,,,,,,,,,eo_mutation_coverage,eo_test_strength,eo_line_coverage,,,,,,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0/37,0/3,14/74,0,3,14,74,0,37
,,,,,,,,,,,,,,,0/37,0/3,14/74,0,3,14,74,0,37
,,,,,,,,,,,,,,,0/37,0/3,14/74,0,3,14,74,0,37
,,,,,,,,,,,,,,,0/37,0/3,14/74,0,3,14,74,0,37
,,,,,,,,,,,,,,,0/37,0/3,14/74,0,3,14,74,0,37
,,,,,,,,,,,,,,,0/37,0/3,14/74,0,3,14,74,0,37
,,,,,,,,,,,,,,,0/37,0/3,14/74,0,3,14,74,0,37
,,,,,,,,,,,,,,,0/37,0/3,14/74,0,3,14,74,0,37
,,,,,,,,,,,,,,,0/37,0/3,14/74,0,3,14,74,0,37
,,,,,,,,,,,,,,,0/37,0/3,14/74,0,3,14,74,0,37
,,,,,,,,,,,,,,,0/37,0/3,14/74,0,3,14,74,0,37
,,,,,,,,,,,,,,,0/37,0/3,14/74,0,3,14,74,0,37
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,5/16,5/5,5/16,5,5,5,16,5,16
,,,,,,,,,,,,,,,2/16,2/6,4/16,2,6,4,16,2,16
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0/16,0/4,6/16,0,4,6,16,0,16
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,7/16,7/11,8/16,7,11,8,16,7,16
,,,,,,,,,,,,,,,15/16,15/16,16/16,15,16,16,16,15,16
,,,,,,,,,,,,,,,7/16,7/11,8/16,7,11,8,16,7,16
,,,,,,,,,,,,,,,5/16,5/5,5/16,5,5,5,16,5,16
,,,,,,,,,,,,,,,5/16,5/5,5/16,5,5,5,16,5,16
,,,,,,,,,,,,,,,5/16,5/5,5/16,5,5,5,16,5,16
,,,,,,,,,,,,,,,1/16,1/11,6/16,1,11,6,16,1,16
,,,,,,,,,,,,,,,5/16,5/5,5/16,5,5,5,16,5,16
,,,,,,,,,,,,,,,6/16,6/9,10/16,6,9,10,16,6,16
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,1/21,1/2,2/58,1,2,2,58,1,21
,,,,,,,,,,,,,,,2/21,2/9,33/58,2,9,33,58,2,21
,,,,,,,,,,,,,,,2/21,2/7,30/58,2,7,30,58,2,21
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,6/21,6/16,48/58,6,16,48,58,6,21
,,,,,,,,,,,,,,,5/21,5/17,48/58,5,17,48,58,5,21
,,,,,,,,,,,,,,,5/21,5/18,50/58,5,18,50,58,5,21
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,5/21,5/14,32/58,5,14,32,58,5,21
,,,,,,,,,,,,,,,7/21,7/12,29/58,7,12,29,58,7,21
,,,,,,,,,,,,,,,6/21,6/14,31/58,6,14,31,58,6,21
